入稿済み,タイムスタンプ,どの企業のESですか（部門も含めて）,いつの代の選考で使われたESですか,いつの選考ですか,出身大学,学部,ESを提出した時のこの企業への志望度を教えてください,このESはES選考を通過しましたか,この企業の最終的な選考結果を教えてください,１ESの質問（文字数まで含めて）,1その答え,2 ESの質問（文字数まで含めて）,2 その答え,3 ESの質問（文字数まで含めて）,3 その答え,4 ESの質問（文字数まで含めて）,4 その答え,5 ESの質問（文字数まで含めて）,5 その答え,6 ESの質問（文字数まで含めて）,6 その答え,7 ESの質問（文字数まで含めて）,7 その答え,8 ESの質問（文字数まで含めて）,8 その答え,9 ESの質問（文字数まで含めて）,9 その答え,10 ESの質問（文字数まで含めて）,10 その答え,11 ESの質問（文字数まで含めて）,11 その答え,12 ESの質問（文字数まで含めて）,12 その答え
,2017/09/08 12:00:35,三菱UFJモルガン・スタンレー証券（総合職）,18卒,本選考,早稲田大学,法学部,2,はい,二次面接辞退,三菱ＵＦＪモルガン･スタンレー証券に入社しどのように社会に役に立ちたいと考えていますか。（300文字）,「世界で闘い、勝ち抜く日本企業を支えたい。」大学時代の経験から、将来は日本のグローバル競争力向上に寄与したいと考えています。企業の世界展開や日本におけるスタートアップの挑戦・変革の動きを後押しし、技術革新等のグローバルな時代の波に呑まれるのではなく、これをチャンスにするマインドの醸成に貢献できればと思っています。日本企業と外資系企業との合弁による知見と情報力、それらを活かした貴社の投資銀行業務における強み。世界で闘う日本企業から必要とされる様々な知識やスキルを身につけて、ともにチャレンジする存在として、クライアントの真のパートナーになりたいと強く思っています。,あなたのこれまでの経験を踏まえ、社会人として働く上で大切だと思うことを具体的に。（200文字）,「熱意と本気で“タフ”に粘り抜く」。学生時代、熱い想いで世界大会優勝というスケールの大きい本気の勝負に挑み続けた経験から、将来働く上で大切にしたいと私が思うことです。与えられた課題・仕事が何であれ、誠実にタフに一つ一つ乗り越えていくことで目標達成を目指し、高められた「私」という付加価値をそれらに上乗せすることで、他では代替することのできないようなプロフェッショナルになりたいと考えます。,自己PRを教えてください。（300文字）,私は、複数の事に同時に全力で挑んだ経験から得た、強い集中力とタフな心身がアピールポイントです。大学生活のハイライトは大きく二つ。「国際法模擬裁判世界大会」へ“日本代表”として出場する為に、毎日仲間との熱い議論と弁論準備に明け暮れ、その結果日本代表となり、世界の学生達と素晴らしい時間を持つことができたこと。同時に、学生の健康増進を図る委員会の部長として「100円朝食事業」を企画。早朝より朝食を提供する活動を推進、継続させたこと。アルバイトもしながらのこの全く異なる活動の両立はとても厳しいものでしたが、様々な工夫と情熱で乗り越えることができたことは、「タフな私」と自負できる自信につながっています。,,,,,,,,,,,,,,,,,,
,2017/09/08 12:05:50,日本政策投資銀行,18卒,秋・冬のインターン,早稲田大学,法学部,5,はい,インターン通過,DBJのインターンシップに参加を希望する理由とこのインターンシップを通して何を学びたいか記入してください。（200文字以内）,私は、経済を支え繋げ流動させている金融の仕事に大変興味を持っています。貴行は政府系金融機関として、日本の産業の核となる分野の発展を担いそれらが切り開く未来を支えている、それはとてもワクワクするものです。また貴行独自の使命や役割は社会への貢献にも直結することと思われ、そこで働いている方々が、どのように投資先を選定しその事業を支えそしてそのことに充実感を持たれているのかを、是非学びたいと思っています。,どのような目的を持って大学生活を過ごしているか記入してください。（200文字以内）,「最後までやりきって成果を出す」。サークルの国際法研究会では、「国際法模擬裁判世界大会」へ日本代表として出場するために毎日仲間と全力で取組み、その結果日本大会で優勝しワシントンでの世界大会に出場することができました。また学内組織の学生健康増進委員会部長として、大学初の「100円！朝食事業」を企画推進しました。これらの活動を全力の情熱で乗り越えた経験は、「タフな私」を自負できる自信に繋がっています。,,,,,,,,,,,,,,,,,,,,
,2017/09/08 12:08:03,JR東海（事務系統）,18卒,秋・冬のインターン,早稲田大学,法学部,4,はい,インターン通過,インターンシップに応募した動機、「事務系統の仕事」コースを選択した理由について（300文字）,鉄道業界はいま広くエンターテイメントを作り出す事業を担っているように思われます。様々な旅の創出や消費の演出などを通じたライフスタイルの提案及び商業施設の開発などは、「社会にヒト・モノ・ココロの流れを創り出す」事業で、社会の基盤として安心安全を旨とする輸送事業とはまた異なる社会的価値を持っていると考えます。日本の輸送基盤を支え人々の生活を演出し世界にそれらの素晴らしさを発信していく、暮らしに直結するその事業群はとてもワクワクさせてくれるものです。東海道という日本の大動脈を支える貴社で、これらの様々な事業を動かす企画や仕掛けがどのように生まれていくのか、そのバックボーンを是非体感したいと思います。,学生時代に最も打ち込んだこと、現在打ち込んでいることなど、自由に自己ＰＲを入力してください（400文字）,私は、いくつかの事に同時に熱い思いを持って全力で取り組んだ経験から得た、集中力とタフな心身がアピールポイントです。私の大学生活のハイライトは大きく二つ。「国際法模擬裁判世界大会」へ“日本代表”として出場するために、1年の秋から1年半、多くの時間を費やしてサークルのチームメンバーと熱い議論や弁論準備を行い、その結果日本代表として世界大会に出場し、世界の学生達と素晴らしい時間を持つことができたこと。また同時に、大学組織に属する学生健康増進委員会の部長として、委員会50周年記念「学生の健康を応援する！100円朝食事業」を企画。早朝より100円朝食を提供する活動を推進しそれを継続させ根付かせることができたこと。アルバイトもしながらのこの全く異なる活動の両立はとても厳しいものでしたが、私なりの様々な工夫と情熱で乗り越えることができたことは、「タフな私」と自負できる自信につながっています。,,,,,,,,,,,,,,,,,,,,
,2017/09/08 12:10:58,みずほフィナンシャルグループ,18卒,秋・冬のインターン,早稲田大学,法学部,5,はい,インターン通過,"インターンシップに応募した動機について入力してください。 
（300文字以内）",すべての経済活動を支え、繋げ、流動させている金融の仕事に、私は大変興味を持っており、特に業務内容の広さやその存在の重要性において金融の根幹をなすメガバンクの役割を、知りたいと考えています。また資産の運用やM&A等のビジネスにもとても関心があり、企業の存続と発展の根幹に関わるこれらのことに御社がどのように関わっているのか、その最前線を少しでも体感し、自分が働くイメージを持ちたいと、さらにメガバンクの日常業務にも少しでも触れることができればと考えます。そして5日間を通して、グループ力を生かし顧客に最適のソリューションを提供する御社の強みや社風を、存分に体感したいと思っています。,"現時点でのみずほのイメージや知っていることを教えてください
（50文字以内）",One MIZUHOとしてグループブランド力向上に取り組み、さらにその一体戦略のもとで採用活動も行っている。,"これまでに一番力を入れて取り組んだ出来事を入力してください。
（300文字以内）",所属サークルにて、国際法模擬裁判の世界大会に日本代表として出場できたことが、大学生活における最も大きな挑戦であり成果です。近年の世界情勢から出題される問題に対して仲間と知力を結集し、国内外のライバル達と競い合ってきました。そしてワシントンで行われた世界大会では、各国から同世代学生が集まる場において「日本」を背負い、自らを通して「日本」のイメージが伝わる興奮に触れ、初めて「世界」という視点を得ました。また大会に臨むにあたっては、模擬裁判に必要とされるリサーチ力・弁論での展開力説得力・冷静な判断力等の向上を図り、問題解決への様々なプロセスやその過程において重要な心身のタフさを体得しました。,,,,,,,,,,,,,,,,,,
,2017/09/08 12:12:25,大和証券,18卒,秋・冬のインターン,早稲田大学,法学部,4,はい,インターン通過,本インターンシップに興味を持った理由、また参加することで得たいものを入力してください。(400文字以内),すべての経済活動を支え、繋げ、流動させている金融の仕事に、私は大変興味を持っています。特に市場が世界規模で刻々と変化する中で、顧客の資産を守り増やしていくための資産運用や、企業の存続と発展の根幹にかかわるM&A等のビジネスにとても関心があります。そのため、特にそれらにアクティブに関わっている証券会社の仕事を知りたいと思います。日本のトップ企業である御社には、様々な金融商品や投資手法の活用に広く多彩なノウハウがあるかと思いますが、社員の方々は日々どのようにそれらの業務を構築しているのか、その最前線を少しでも体感し、自分が働くイメージを持ちたいと、さらにトップ証券会社の日常業務にも少しでも触れることができればと考えます。また私は、将来的に家庭を持ちながらも生涯仕事を続けていたいと思っており、御社で働く女性社員の方からもそれらの可能性や心構えなどについて是非お話を伺いたいと思います。,自由記述（400文字以内）,"私が学生生活を捧げたもの。
所属サークルにて、「国際法模擬裁判の世界大会」に日本代表として出場できたことが、大学生活における最も大きな挑戦であり成果です。国際法の枠組みの中で、近年の世界情勢から出題される問題に対して仲間と知力を結集し、国内外のライバル達と競い合ってきました。そしてワシントンで行われた世界大会では、世界各国から同世代学生が集まる場において「日本」を背負い、自らを通して「日本」のイメージが伝わる興奮に触れ、高校までの人生においては決して得ることのできなかった「世界」という視点を得ました。また大会に臨むにあたっては、模擬裁判に必要とされるリサーチ力・弁論での展開力説得力・冷静な判断力・相手の主張への対応力等の向上を図り、寝食を削ってチーム全員で勝利に向かいました。私はこれらの経験を通して、問題解決への様々なプロセスや、その過程において重要な心身のタフさを体得できたように思います。
",,,,,,,,,,,,,,,,,,,,
,2017/09/08 12:14:43,日本銀行,18卒,秋・冬のインターン,早稲田大学,法学部,5,はい,GD落ち,日本銀行のインターンシップへの参加を志望する理由と、そこで学びたいことを教えてください。（200文字）,すべての経済活動を支え繋げ動かしている金融の仕事に、私は大変興味を持っています。中でも唯一の発券銀行である国の中央銀行が、日本経済の持続的発展を目的としてどのような役割を果たしているのか、少しでも知りたいと思います。特に日本銀行が世界経済の渦の中で、海外の中央銀行や国際機関と競合し協働しながら、経済外交をも担って行っているであろう様々な活動の使命や役割といったものも、是非学んでみたいと思います。,学生時代に力を注いだことを教えてください。（200文字）,私は「国際法研究会」というサークルで「国際法模擬裁判世界大会」へ“日本代表”として出場するために、1年の冬から1年半程、授業以外の時間を土日も関係なくチームメンバーとの熱い議論や弁論準備に費やし、その結果日本代表となって世界大会に出場し、そして世界の学生達と競い合うという素晴らしい時間を持つことができました。それらは私を鍛えてくれたとともに、世界という視点をもたらしてくれたと思っています。,金融、経済、その他の最近の出来事の中から、あなたが関心を持ったものを一つ選び、あなたの意見を述べてください。（600文字）,"AI・Iot・バーチャルリアリティー。近年急速な発展をみせ、研究段階から実用化フェーズに入っているこれらの最先端技術に私はとても惹かれます。中でも自動車分野において、日産自動車が国内で初めて自動運転技術(レベル2)を搭載した新型自動車を発売し、2020年までの自動運転技術搭載スケジュールを発表しましたが、このテーマは、現在各自動車メーカーやIT企業がしのぎを削って開発競争をしている分野で、AIなどの先端技術が実用と手を携える象徴的な分野と考えられ、そのすそ野の広がりからいってもとてもワクワクする分野です。
少子高齢化の進む日本は、将来の労働力不足なども大変問題視されていますが、この自動車分野で開発され実用化されていく技術が、様々な別の分野でインテリジェントな自動化をもたらすものとして普及していくことで、将来的に人の労働というものがどのようになっていくのか、興味はつきません。
これらの最先端技術は、あらゆる分野であらゆる局面で活用され展開される、極めて有用な技術の基礎として、まさに頭脳代わりになりうるもので、逆に人間の能力がどうなってしまうのかとても心配にもなるものですが、恐らくどんなベンチャーにも可能性を開くテーマとして、経済的な拡がりばかりではなく、その国の伝統や文化にも影響を及ぼしていくと思われます。そしてこれらは、日本が世界をリードしていくべき最も重要な技術であると考えます。",,,,,,,,,,,,,,,,,,
,2017/09/08 14:56:48,日本航空（自社養成パイロット）,18卒,本選考,横浜国立大学,教育人間科学部,7,はい,５次身体検査落ち,あなたの長所・短所を踏まえ、自己PRをご記入ください。,共感力を備えたリーダーシップが私の強みです。高校2年生の頃、私はクラスの文化祭実行リーダーを経験しました。少々自信家で負けん気が強い私は、自分の考えに固執し、クラスメイトの意見を聞けなかった結果、彼らのやる気を削ぎ、文化祭は大失敗に終わりました。この経験から私は、リーダーには決断力や実行力に加えて、謙虚さや素直さも必要だと気付きました。翌年の文化祭で同じポジションに就いた際には、週に一度話し合いの場を設け、クラスメイトの意見を作品に活かすこと、どんな些細なことでもありがとうと伝えることを実践した結果、皆の協力を得ることができ、最優秀演劇賞を受賞することができました。運航に関わる様々な人がベストパフォーマンスを発揮し、安全運行を目指す環境を作ることができる、そんなリーダーシップを持ったパイロットになり、私は貴社に貢献したいです。,志望動機をご記入ください。,私はこれまで責任の重い環境に挑戦し、そこで結果を出すことでやりがいと成長を得てきました。そこで、フライトの最終責任者として、多くの方から託された思いを背負って飛ぶパイロットに挑戦し、やりがいと成長を得たいと思い志望しました。特に私はＪＡＬのパイロットになりたいと考えています。それは、世界で一番お客様に選ばれ、愛される航空会社になるという志に深く共感したからです。私は、アルバイトを通して、数ある焼肉店の中から、お客様に選ばれるお店にするために、付加価値の高いサービスの提供を仲間達と共に行い、常連のお客様が増えていった過程にとてもやりがいを感じました。同じ志を掲げられている貴社で、世界一愛される航空会社へと導く一員として活躍したいと思い、ＪＡＬのパイロットを志望しました。,,,,,,,,,,,,,,,,,,,,
,2017/09/08 15:26:00,キヤノン（調達エンジニア）,18卒,本選考,千葉大学,大学院理学研究科基盤理学専攻,5,はい,内定,◆キヤノンに入社してやりたいこと、実現したいことは何ですか？取り組みたい技術や分野を踏まえたうえで具体的に教えてください。（ご自身の現在の専門分野と異なっていてもかまいません。）(500文字以内),"【かけがえのない日本を育てる】
これは、私の原動力である『かけがえのない存在でありたい』という危機感から発展した、私の人生の目標である。ここで、「かけがえのない」は「世界のために本気で貢献する」ことを、「日本を育てる」は「もっと深く、もっと広く日本のモノを体感してもらう」ことを意味する。
したがって、この目標を達成するために、私は貴社において下記１～３に段階的に取り組みたい。
■１．文化を創るモノづくり（もっと深く）■
初めに、調達エンジニアとして俯瞰的に文化を創るモノづくりの現場を支え、原価率低減を達成する。その中で、特にビッグデータの効果的な活用法を導入したい。
■２．世界を開拓するビジネス（もっと広く）■
次に、事業企画において新たに世界の市場を開拓し、世界三極体制を強化する。その中で、特に映像ビッグデータを種とした先進的なビジネスを成長させたい。
■３．本気を醸成する経営（本気で貢献する）■
最後に、経営企画においてグループ全体の社員一人ひとりが本気で仕事に臨める風土を醸成し、キヤノンスピリットがさらに活性化する経営を実践する。",◆学業以外で力を注いだことについて教えてください。（その活動において、困難だったことや、その困難にどのようなアプローチで取り組んだか、またその経験から得られたことなどを具体的に記載してください。）（500文字以内）,"【ベトナム世界遺産街でのビジネス実践プログラム（１５日間）】
■動機■
「絶え間ない達成欲」を持つ私は、大学院入試のトップ通過を経てアメリカへの研究留学を志した。しかし、資金の問題でその計画が頓挫したことから、まずは上記プログラムに挑み、世界で活躍するための素地を磨こうと考えた。
■目標・困難■
現地初対面の４人８チームが採否をかけて各店舗で新規施策を立案・遂行する中で、私のチームはレストランのメニュー開発に取り組み、チーム優勝を目指した。ところが、プログラム中盤に至っても、「否定されることが怖い」ために力を発揮しきれないメンバーがいた。
■取組・成果■
私はそのメンバーに「敢えて自分のことは忘れ、お客様のためだけに没頭しよう。きっとその先にひと皮剥けた自分がいる。」と本気で伝えた。それからそのメンバーが見違えるように成果を挙げ始めたことで、ようやくチームに信頼と結束が生まれ、最終的に２つのメニュー採用と共にチーム優勝を果たした。
■学び■
チームの目標に向かって相手を動機づけるには、「本音の対話を通して相手の望みを理解し、チームの目標の先にその実現を見出して伝える」ことが大切であると実感した。",◆卒論のテーマ（30文字以内）,石油化合物の効率的な変換反応の開発,◆修論のテーマ（30文字以内）,石油化合物を機能性化合物に変換するワンポット合成法の開発,◆卒論について（１．研究テーマ・分野　２．テーマの選定理由　３．これまでに成し得たこと　４．研究における独自性や新規性　５．研究過程での気づきや発見　６．苦労した点・改善点　などを踏まえて具体的に教えてください。）（500文字以内）,"【概要（１～４）】
私の所属する研究室では「ラジカル反応を活用した効率的な合成法」の開発に注力している。その中で私は「石油化合物の新しい用途の開拓」というコンセプトに惹かれ、上記卒論のテーマを選んだ。
　石油化合物は、石油から大量供給される安価な原料として魅力的であるものの、反応性が乏しいためにその実用的用途は狭い。そこで私は、古典的なラジカル反応の改良によって、石油化合物の「アルキル基」を「ブロモケトン基」にまで変換する初めての反応を開発し、石油化合物の新しい実用的用途を示した。
【詳細（５・６）】
■不純物の水によって目的反応が起こっていた■
最適な酸素化試薬の検討時に、ある溶媒に起因してわずかに酸素が導入されることが分かった。そこで、その溶媒の不純物として考えられるいくつかの試薬を意図的に添加したところ、水が有効な酸素源として働くことを見出した。
■石油化合物の特徴に応じて３種類の反応条件を設定した■
ラジカル反応の起こりやすさは、原料の電子密度という性質に依存して大きく異なる。しかし、その違いに基づいて反応条件を調整することで、幅広い目的生成物が高収率で得られた。",◆修論について（１．研究テーマ・分野　２．テーマの選定理由　３．これまでに成し得たこと　４．研究における独自性や新規性　５．研究過程での気づきや発見　６．苦労した点・改善点　などを踏まえて具体的に教えてください。）（500文字以内）,"【概要（１～４）】
　すでに開発した石油化合物の変換反応によって中間体として有用な「ブロモケトン基」が高収率で得られる。そこで私は、この変換反応を機能性化合物の合成反応と連続化することで、「一挙に油を薬に変える」ワンポット合成法を開発できると考えた。
　「ブロモケトン基」から合成でき、かつ、医薬品に広く見られる機能性化合物として「アミド」と「チアゾール」に着目した。そして、それらの従来の合成反応を活用することで、これまでに最も安価な原料から「アミド」と「チアゾール」を合成することに成功した。
【詳細（５・６）】
■塩基性条件の合成反応との連続化は困難であった■
同様のワンポット合成法を塩基性条件の合成反応を経る機能性化合物へ展開することは未だに達成できていない。これは始めの変換反応で用いる溶媒が分解して副反応を起こすためであり、現在その解決に向けて変換反応の再開発に取り組んでいる。
■９つの条件要素の改善を的確に積み重ねた■
反応の連続化によって通常よりも多くの中間生成物と副生成物が生じるため、それらの混合物を緻密に分離・解析することで、的確な条件要素の改善に努めた。",,,,,,,,,,,,
,2017/09/08 19:14:50,伊藤忠商事,18卒,本選考,慶應義塾大学,経済学部,7,はい,内定,あなたの強みは何ですか。20文字以下,小さなことも疎かにせず愚直にやり抜く力。,あなたの弱みは何ですか。20文字以下,仲間に頼るのが下手なこと。,伊藤忠商事を志望する理由を教えてください。50文字以下,①私の理想像である「泥臭くて、熱いハート」を持つ方が多いから。②日本と中国の橋渡し役になりたいから。,あなたの信念を教えてください。 30文字以下,寄り道することを厭わない（＝最短ルートに拘らない）。,やりがいを感じる時はどのような時ですか。 30文字以下,自分の頭で考えたことが、結果として数字に表れた時。,日頃、継続している習慣を教えてください。 30文字以下,常に感謝の気持ちを持ち、小さなことにも言葉で感謝を伝える。,困難に直面した時、どのように克服しますか。 30文字以下,①独りで抱え込まず皆で対処する、②まずは自分で全力を尽くす。,あなたの思うリーダーシップとは何ですか。 30文字以下,①背中で集団を引っ張る力、②気配り・思いやりができる。,ストレスを感じるのはどのような時ですか。 30文字以下,自分の不甲斐なさのせいで、物事が想定通りに進まない時。,ストレスを感じるときはどのように対処しますか。 30文字以下,大好きなスピッツとMr.Childrenを聴く、サッカー,コミュニケーションの際に気を付けていることを教えてください。 30文字以下,聞く６割・話す４割、理論と感情のバランスを意識。,あなたの人生の夢を教えてください。 30文字以下,①損得考えず、夢がある人を応援する、②「中国といったら水野」
〇,2017/09/08 21:48:16,野村総合研究所,18卒,夏のインターン,早稲田大学大学院,基幹理工学研究科,3,はい,2次選考辞退,"あなたが「乗り越えた困難」、「大学で最も力を入れて勉強したこと」からいずれかのテーマを選び、具体的に教えてください。
特に、自分なりにこだわった点や創意工夫した点を、その理由とともに教えてください。
（400字以内で記入してください。）","【大学で最も力を入れて勉強したこと】
宇宙探査機に搭載する新たなサンプリングシステムの研究開発を行っています。私の作る装置は宇宙環境での利用を想定しており、システムの実用化を考えたとき、宇宙により近い高真空環境下での性能試験データが必要であると分析しました。しかし、高真空環境下を再現するには高価かつ巨大な装置が必要であり、大学内に設備するのは困難でした。そこでJAXAに自分の実験の意義や面白さを直接プレゼンし、高真空実験を実現しました。JAXAの方々と綿密な計画を練って実験に取り組み、高真空環境下でのシステム性能の向上を確認することに成功しました。最終的には、研究成果をまとめた論文を執筆し、学会発表を果たしました。この経験から、きちんとした現状分析を行って課題を明確にした上で、自ら率先して行動し周囲を巻き込むことが成果に繋がるということを学びました。","あなたが「乗り越えた困難」、「挑戦し成し遂げたこと」、「大学で最も力を入れて勉強したこと」からいずれかのテーマを選び、具体的に教えてください。特に、自分なりにこだわった点や創意工夫した点を、その理由とともに教えてください。
（400字以内で記入してください。）
","【挑戦し成し遂げたこと】
アカペラサークルのライブプロデューサーを務め、観客数を増加させた経験です。例年、運営資金の不足と消極的な広報活動が原因で350人規模のライブを行っていましたが、「私たちのアカペラをもっと多くの方に届けたい」という思いから、ライブ会場の規模拡大に踏み切ることにしました。そこで、部史上初の企業協賛による運営資金の拡大と、ストリートライブ実施による宣伝効果拡大に挑戦しました。部史上初のプロジェクトに部員が困惑しないよう、自ら有識者にアドバイスを求めて活動マニュアルを作成し、全体説明会を設けて共通理解を図りました。その結果、運営資金は前年比1.5倍の75万円を獲得し、ストリートライブによる宣伝効果も相まって、過去最大の500名規模のライブを達成することができました。この経験から、新たな施策にも果敢に挑戦し、実行手順を明確にして取り組むことで大きな成果を出せることを学びました。
",,,,,,,,,,,,,,,,,,,,
,2017/09/08 21:52:37,日本IBM,18卒,夏のインターン,早稲田大学大学院,基幹理工学研究科,3,はい,インターン内定,"インターンシップに応募した理由を具体的に教えて下さい (500文字)
","応募理由は二つある。一つ目は、ITを活用した戦略立案やコンサルティング業務について理解を深めたいからである。私はサークル活動において、クラウドファンディングを利用した資金調達によりプロジェクトを成功させた。この経験から、私は将来ＩＴの無限の可能性を常に問い続け、既存の概念にとらわれない新しい価値創造を提供することによって社会に貢献したいと考える。成長スピードの速いIT 業界において、豊富なテクノロジー持って世界中の人々の生活に変革をもたらし続けてきた貴社は魅力的であり、ぜひ貴社の業務を体験してみたい。
二つ目は、貴社の社風が自分の理想と一致するためである。以前、大学のOBの方に会わせて頂く機会があり、「年齢に縛られることなく、主体性を持って大きな仕事に挑戦できる」雰囲気に大きな魅力を感じた。このような社風のある環境の下、自ら考え主体的に行動し、多くのことを学んで自身の成長につなげたい。また、人材輩出企業としても名高い貴社の濃密な研修を体験することで、自分の能力と社会が求める能力とのギャップを把握すると共に、自分のキャリア選択について考える機会としたい。","学業を通じて得られたあなたにとっての一番の学び、もしくは発見について教えてください。
（400文字）","徹底した現状分析なしに成果は得られない、という学びだ。私が大学での研究活動を始めた当初は、十分な現状分析を行わずにPDCAサイクルを回してしまったことにより、研究テーマの本質から外れた実験やデータ分析を繰り返していた。そこで、現状分析に重きを置く研究方針に切り替えることにした。私の作る装置は宇宙環境での利用を想定しており、システムの実用化を考えたとき、宇宙を模擬した環境における性能向上データの不足が現状の課題であると分析した。そこでJAXAに自分の実験の意義や面白さを直接プレゼンし、真空実験ができるようになった。JAXAの方々と綿密な計画を練って真空実験に取り組み、真空環境下でのシステム性能の向上を確認することに成功した。最終的には、研究成果をまとめた論文が米国の宇宙関連企業に注目され、共同研究を行うことになった。徹底した現状分析により成果を得たこの経験を、今後の人生の様々な場面で活用したいと考える。
","あなたの強みは何ですか。根拠となる経験とともに教えてください。
(400文字)","私の強みは、目標達成のために粘り強く取り組む力と、熱意を持って周囲を巻き込む力である。 
私が所属していたアカペラサークルでは、運営資金の不足から例年350人規模の会場でライブを行っていた。プロデューサーに就任した私は、「私たちのアカペラをもっと多くの方に届けたい」という思いからライブ会場の規模拡大に踏み切ることにした。そこで、部史上初となる企業協賛・クラウドファンディングによる運営資金の拡大に挑戦した。最初はノウハウの不足から失敗を連続し、部員の不満を募らせ、信頼を失いかけた。しかし、「何としてでも目標を達成する」という熱意を持って自ら有識者にアドバイスを求め、活動マニュアルを確立させた。こうした努力が徐々に部員に理解され、プロジェクトに積極的に協力してくれるようになった。
結果、運営資金は前年の1.5倍である120万円に拡大し、過去最高の500名を集客するライブを達成することができた。","その強みをどのように活用して、組織や社会にどんな良い変化を起こせると考えていますか。
(400字)","私は自身の持つ強みを活用することで、組織の抱える課題を引き出し、解決策を提案し、実際にその課題の解決にまで導くことができる。そして、組織の課題を解決することがよりよい社会へと繋がると考える。何故ならば、組織が課題を抱えるということは、少なからず社会にマイナスな影響を与えていると考えているため、組織が抱える課題を解決することはよりよい社会を実現する手段となり得るからだ。組織の抱える課題は時に複雑で難解な場合があると思うが、「何としても解決する」という私の熱意と、最後まで粘り強く取り組む姿勢が組織に伝わることで、課題解決に向けて相互がより協力的になると考える。相互が協力的に課題解決に取り組むことで、課題解決がより迅速に行われ、社会にとってもよりスピーディーに良い変化がもたらされるであろう。
持ち前のリーダーシップを組織や社会における様々な場面で活用し、よりよい社会の実現へ尽力したい。
",,,,,,,,,,,,,,,,
,2017/09/08 21:55:01,日本総合研究所,18卒,夏のインターン,早稲田大学大学院,基幹理工学研究科,4,はい,インターン内定,"今後、学部・院において研究したい専門テーマとその理由をご記入ください。
(400文字)",宇宙探査における新技術の開発について研究したい。近年、地球外生命の探索や、人類の存在領域拡大などの観点から、惑星の探査が注目されている。現在、サンプルリターンミッションに応用可能な新システムの開発をしているが、この研究テーマを選んだのは、自らのアイデアや取り組みによって社会に大きなインパクトを与えたいという思いがあるからだ。2010年に、はやぶさが小惑星イトカワの一部を地球に持ち帰ることに成功した。しかし、はやぶさに組み込まれていた試料採取機構は、構造の複雑さや制御の難しさが原因で本来の性能を発揮することができなかった。そこで新たなサンプルリターンミッションに向けて、より単純構造で制御しやすい試料採取システムとして磁気力を利用した試料採取機構の開発に着目した。大学院での研究において、自らが開発した装置の有用性を実証することで、社会や人類の発展に貢献したい。,現在力を入れていること（研究、部活、学外連携、社会活動等）をご記入ください。(400文字),私は、自らの研究に説得力を持たせるために、数値シミュレーションを可能にするプログラミング技術の習得に現在力を入れている。私が研究開発を行っている装置は、宇宙環境での利用を想定しており、システムの実用化を考えたとき、宇宙環境下でのシステム性能の向上を示すデータが必要不可欠である。しかし、地上において宇宙環境を再現することは不可能であるため、数値シミュレーションを用いて性能評価をする必要があるのだ。プログラミング技術の習得には多くの学習時間が必要とされるが、持ち前の粘り強さを生かして日々習得に励んでいる。また、博士課程の先輩に指導を仰いだり、学内にとどまらず学外のプログラミングセミナーにも自ら参加するなど、積極的に学習環境を求め行動している。このような積極的かつ粘り強い取り組みが、プログラミング技術の早期習得を可能にし、研究データの説得力向上に繋がることを期待している。,自己PRをご記入ください。(400文字),"私の強みは、目標達成のために粘り強く取り組む力と、熱意を持って周囲を巻き込む力である。 
私が所属していたアカペラサークルでは、運営資金の不足から毎年350人規模の会場でライブを行っていた。プロデューサーに就任した私は、「私たちのアカペラをもっと多くの方に届けたい」という思いからライブ会場の規模拡大に踏み切ることにした。そこで、部史上初となる企業協賛による運営資金拡大と、ストリートライブ実施による宣伝効果拡大を部員に提案した。当初はノウハウの不足から失敗の連続であったが、「何としてでも目標を達成する」という熱意を持って、自ら有識者にアドバイスを求め続けた。こうした努力が徐々に部員に理解され、プロジェクトに積極的に協力してくれるようになった。
結果、運営資金は前年の1.5倍である120万円に拡大し、ストリートライブによる宣伝効果も相まって、過去最高の500名を集客するライブを達成することができた。
","インターンシップに期待すること、試してみたいことをご記入ください。
(200文字)",私は貴社のインターンシップにおいて、金融ビジネスをITという側面から分析・評価して実行可能なIT戦略を立案するためには、どういった視点が必要であるのかということを学びたい。また、実践的なプログラムを通して、自らの適性について考えるとともに、課題の本質を捉えながら論理的に解決していく力を伸ばしたい。そして、様々なバックグラウンドを持った学生が集まる中で、自身の強みであるチームを率いる力を試してみたい。,,,,,,,,,,,,,,,,
